Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.38,Scribner,Hardcover,368,2017,2017,,2024/01/16,to-read,to-read (#26),to-read,,,,0,0
151339300,Emotional Intelligence Habits,Travis Bradberry,"Bradberry, Travis",,"=""0974719374""","=""9780974719375""",0,4.72,TalentSmart,Hardcover,432,2023,,,2024/01/03,to-read,to-read (#25),to-read,,,,0,0
171127,The Little Book of Common Sense Investing: The Only Way to Guarantee Your Fair Share of Stock Market Returns,John C. Bogle,"Bogle, John C.",,"=""0470102101""","=""9780470102107""",0,4.16,Wiley,Hardcover,216,2007,2007,,2024/01/02,to-read,to-read (#24),to-read,,,,0,0
39899253,Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,"Maté, Gabor",,"=""1785042211""","=""9781785042218""",0,4.35,Vermilion,Paperback,368,2019,1999,,2023/12/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",3,4.18,Grand Central Publishing,Hardcover,296,2016,2016,2023/12/30,2023/11/07,,,read,,,,1,0
59646620,Be Your Future Self Now: The Science of Intentional Transformation,Benjamin P. Hardy,"Hardy, Benjamin P.",,"=""1401967574""","=""9781401967574""",0,4.32,Hay House Business,Hardcover,256,2022,2022,,2023/12/20,to-read,to-read (#23),to-read,,,,0,0
61281762,Magic Words,Jonah Berger,"Berger, Jonah",,"=""0063204932""","=""9780063204935""",0,3.91,Harper Business,Hardcover,256,2023,2023,,2023/12/20,to-read,to-read (#22),to-read,,,,0,0
15710583,"Is Parallel Programming Hard, And, If So, What Can You Do About It?",Paul McKenney,"McKenney, Paul",,"=""""","=""""",0,4.71,,ebook,346,2011,2014,,2023/11/12,to-read,to-read (#21),to-read,,,,0,0
35187575,"TCP/IP Illustrated, Volume 3: TCP for Transactions, HTTP, NNTP, and the UNIX Domain Protocols (Addison-Wesley Professional Computing Series)",W Richard Stevens,"Stevens, W Richard",,"=""0134457102""","=""9780134457109""",0,0.0,Addison-Wesley Professional,Paperback,352,2016,,,2023/11/11,to-read,to-read (#20),to-read,,,,0,0
13078249,"TCP/IP Illustrated, Volume 1: The Protocols",W. Richard Stevens,"Stevens, W. Richard",Kevin R. Fall,"=""""","=""""",0,4.31,Addison-Wesley Professional,Kindle Edition,1039,2011,1993,,2023/11/11,to-read,to-read (#19),to-read,,,,0,0
22253037,"TCP/IP Illustrated, Volume 2: The Implementation",W Richard Stevens,"Stevens, W Richard",Gary R. Wright,"=""0321617630""","=""9780321617637""",0,4.50,Addison-Wesley Professional,ebook,1193,1995,1995,,2023/11/11,to-read,to-read (#18),to-read,,,,0,0
192405005,Hypermedia Systems,Carson Gross,"Gross, Carson","Mike Amundsen, Adam Stepinski, Deniz Akşimşek, William Talcott","=""""","=""""",5,4.39,,Kindle Edition,548,2023,,2023/11/10,2023/10/20,,,read,"Great book, love the purist idea and will be using htmx for all my new projects. <br/><br/>Also love the HOWYL approach. Will be targetting go + htmx. <br/><br/>This has really opened my eyes, loved going through the origins of Restful and the HATEOS approach.",,,1,0
9589,Hocus Pocus,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0425161293""","=""9780425161296""",3,3.83,Berkley Books,Paperback,322,1997,1990,2023/11/07,2023/10/19,,,read,Eugene died in 1926<br/>- 2001 Space Odyssey  <br/>(Film our Debs saw in Nam) = - 74<br/>+ 1889 (Hitler born) = 1814<br/>+12 (gestation period) =1826<br/>/2(sqrt of 4) =913<br/>-900 (9 times 100) = 13<br/>+ 69 children born to the Russian woman = 82<br/><br/>82 women. <br/>82 men killed.,true,,1,0
6718693,Learn you some Erlang for great good!,Fred Hebert,"Hebert, Fred",,"=""""","=""""",0,4.49,No Starch Press,Paperback,593,,2012,,2023/11/04,to-read,to-read (#17),to-read,,,,0,0
58661468,Crafting Interpreters,Robert Nystrom,"Nystrom, Robert",,"=""0990582930""","=""9780990582939""",0,4.70,Genever Benning ,Paperback,865,2021,2021,,2023/11/04,to-read,to-read (#16),to-read,,,,0,0
15645,Inferno,Dante Alighieri,"Alighieri, Dante",Anthony Esolen,"=""0812970063""","=""9780812970067""",4,4.02,Modern Library,Paperback,490,2003,1320,2023/10/19,2023/10/09,,,read,"This was an allegorical masterpiece. A master of poetry places his deep knowledge and understanding of religion, literature, politics and human psychology behind the curtains of skilfully crafted passages.<br/><br/>We can all place ourselves in Dante's shoes. Since our divine intellect is easily corruptible by our senses we can all find ourselves in the dark forrest searching for the rightful path. <br/><br/>Dante chose Virgil as his guide as Virgil already envisioned a trip through hell via Aeneas in the Aeneid.<br/><br/>Terrible monsters and guardians such as Minos, Crete's king, Cerbereustry, Charon and others, try to stop their trip, but Virgil repremands them by signaling that Dante's path has been granted a stamp of approval by the ""One who wills"". <br/><br/>Caught me by surprise that non-Christians are on the first circle of hell, however appreciated the fact people such as Socrates are able to live the afterlife they envisioned during their lifetime.<br/><br/>Some symbolical pairings or sin and scene made a lasting impression on me. <br/> <br/><br/>Lustful on circle 2 are brown around by wind ad they don't have control over their behaviour.<br/><br/>The gluttonous on circle 3 live in horrid conditions as a pig<br/><br/>The wrathful on level 4 who didn't express wrath and kept it to themselves are drowning in the Styx with no one hearing what they are trying to convey underwater. <br/><br/>The sodomites on level 7 live in rain of fire and scorching land. Rain is supposed to stimulate the fertile soil produce vegetation. As sodomy does not produce offsprings, the same goes for the rain of fire and scorching earth. <br/><br/>In general, I enjoyed the way spirits are punished. With the opposite of what they tried to achieve on earth. I loved how Dante despite feeling pity at the start, progressively grew more disdainful of sin and stopped pitting the spirits. <br/><br/>I loved when right before the two poets descend to the ninth circle they see all the chained Giants. The first giant is called Nimrod, he built the tower of Babel and is talking gibberish. Virgil repremands him and tells him he is a dimwit. Found that incredibly funny.",,,1,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.36,Avery,Kindle Edition,319,2018,2018,2023/10/09,2023/09/25,,,read,,,,1,0
133539,"Swann's Way (In Search of Lost Time, #1)",Marcel Proust,"Proust, Marcel","C.K. Scott Moncrieff, Terence Kilmartin, D.J. Enright","=""0375751548""","=""9780375751547""",4,4.14,The Modern Library New York,Paperback,615,1998,1913,,2023/09/25,,,read,,,,1,0
28636,The Curtain: An Essay in Seven Parts,Milan Kundera,"Kundera, Milan",Linda Asher,"=""0060841869""","=""9780060841867""",4,3.98,Harper,Hardcover,176,2007,2005,,2023/08/26,,,read,"Great essay which goes through the history of the Novel as a whole. Enjoyed many valuable insights and his thoughts on Dostoyevski and Proust. Moreover, his analysis of ""In Search of Lost Time""  convinced me to give ""Swann's Way"" a read.",,,1,0
4099,The Pragmatic Programmer: From Journeyman to Master,Andy Hunt,"Hunt, Andy",Dave Thomas,"=""020161622X""","=""9780201616224""",5,4.33,Addison-Wesley Professional,Paperback,321,1999,1999,2023/05/03,2023/02/26,,,read,,,,1,0
17227647,Learn Vimscript the Hard Way,Steve Losh,"Losh, Steve",,"=""""","=""""",3,4.26,Leanpub,ebook,,,,2023/05/03,2023/04/10,,,read,,,,1,0
112252,Types and Programming Languages (Mit Press),Benjamin C. Pierce,"Pierce, Benjamin C.",,"=""0262162091""","=""9780262162098""",0,4.27,MIT Press,Hardcover,623,2002,2002,,2023/04/23,to-read,to-read (#15),to-read,,,,0,0
3063393,Pragmatic Thinking and Learning: Refactor Your Wetware,Andy Hunt,"Hunt, Andy",,"=""1934356050""","=""9781934356050""",0,4.13,"Pragmatic Programmers, LLC, The",Paperback,251,2008,2008,,2023/04/23,to-read,to-read (#14),to-read,,,,0,0
10140028,Java Script: The Good Parts,Douglas Crockford,"Crockford, Douglas",,"=""7564114479""","=""9787564114473""",0,4.23,Southeast University Press,,153,2009,2008,,2023/04/10,to-read,to-read (#13),to-read,,,,0,0
